state,x,y
Abia,-47, -150
Adamawa,158, 21
Akwa Ibom,-38, -189
Anambra,-78, -126
Bauchi,43, 59
Bayelsa,-125, -191
Benue,-3, -73
Borno,195, 123
Cross River,-15, -143
Delta,-122, -153
Ebonyi,-32, -119
Edo,-117, -103
Ekiti,-150, -60
Enugu,-57, -99
Gombe,106, 61
Imo,-75, -151
Jigawa,31, 140
Kaduna,-41, 59
Kano,-11, 117
Katsina,-53, 171
Kebbi,-202, 100
Kogi,-92, -64
Kwara,-169, -14
Lagos,-246, -120
Nassarawa,-36, -28
Niger,-134, 33
Ogun,-244, -86
Ondo,-153, -84
Osun,-186, -66
Oyo,-231, -40
Plateau,22, 6
Rivers,-102, -211
Sokoto,-160, 189
Taraba,68, -60
Yobe,104, 143
Zamfara,-128, 131
Abuja FCT, -76, -4
